typeCode,freqCode,refYear,refMonth,period,reporterDesc,flowDesc,partnerDesc,cmdCode,netWgt,primaryValue
C,A,2021,52,2021,Japan,Export,World,121190,53491,1342870.692
C,A,2021,52,2021,Kazakhstan,Export,World,121190,808580.7,732684.69
C,A,2021,52,2021,Jordan,Export,World,121190,78972.169,510172.9
C,A,2021,52,2021,Kenya,Export,World,121190,4308432.37,19010538.31
C,A,2021,52,2021,Rep. of Korea,Export,World,121190,301916.423,8008802
C,A,2021,52,2021,Kuwait,Export,World,121190,17764.76,180751
C,A,2021,52,2021,Kyrgyzstan,Export,World,121190,185288,663876
C,A,2021,52,2021,Lao People's Dem. Rep.,Export,World,121190,5861665,3463492.07
C,A,2021,52,2021,Lebanon,Export,World,121190,1090260,1679870
C,A,2021,52,2021,Lesotho,Export,World,121190,1231183,3636978.81
C,A,2021,52,2021,Latvia,Export,World,121190,2376844.831,13748525.82
C,A,2021,52,2021,Liberia,Export,World,121190,10000,1645
C,A,2021,52,2021,Lithuania,Export,World,121190,442628.2,4189977
C,A,2021,52,2021,Luxembourg,Export,World,121190,68165.351,26402350.62
C,A,2021,52,2021,"China, Macao SAR",Export,World,121190,638,16592.901
C,A,2021,52,2021,Madagascar,Export,World,121190,4249986.16,7987110.976
C,A,2021,52,2021,Malawi,Export,World,121190,27303.25,86940.789
C,A,2021,52,2021,Malaysia,Export,World,121190,627508.52,5373054.78
C,A,2021,52,2021,Maldives,Export,World,121190,4.1,10.995
C,A,2021,52,2021,Mali,Export,World,121190,13252.76,5338.762
C,A,2021,52,2021,Malta,Export,World,121190,1,21.289
C,A,2021,52,2021,Mauritius,Export,World,121190,1036,22414.276
C,A,2021,52,2021,Mexico,Export,World,121190,7159750.298,46253137
C,A,2021,52,2021,"Other Asia, nes",Export,World,121190,666736.739,9984106.717
C,A,2021,52,2021,Mongolia,Export,World,121190,84596,625816.61
C,A,2021,52,2021,Rep. of Moldova,Export,World,121190,111090.423,843782
C,A,2021,52,2021,Montenegro,Export,World,121190,190354.78,775940.74
C,A,2021,52,2021,Morocco,Export,World,121190,26797663.67,68039345.98
C,A,2021,52,2021,Mozambique,Export,World,121190,41417,56136.57
C,A,2021,52,2021,Oman,Export,World,121190,910717,271960.988
C,A,2021,52,2021,Namibia,Export,World,121190,688298.64,3448320.381
C,A,2021,52,2021,Nepal,Export,World,121190,6213427.624,12660527.77
C,A,2021,52,2021,Netherlands,Export,World,121190,5850389.164,42065117.15
C,A,2021,52,2021,New Zealand,Export,World,121190,118842,2623151.072
C,A,2021,52,2021,Nicaragua,Export,World,121190,297893.34,162693.47
C,A,2021,52,2021,Nigeria,Export,World,121190,25263073,8980851.011
C,A,2021,52,2021,Norway,Export,World,121190,48838,590401.02
C,A,2021,52,2021,Pakistan,Export,World,121190,14626745,23716279.06
C,A,2021,52,2021,Panama,Export,World,121190,53,823
C,A,2021,52,2021,Papua New Guinea,Export,World,121190,74490,412158.15
C,A,2021,52,2021,Paraguay,Export,World,121190,2645400,5502091
C,A,2021,52,2021,Peru,Export,World,121190,9394909.24,30322216.36
C,A,2021,52,2021,Philippines,Export,World,121190,8409.698,54328
C,A,2021,52,2021,Poland,Export,World,121190,17779684.29,103673106
C,A,2021,52,2021,Portugal,Export,World,121190,597321.807,14087800.79
C,A,2021,52,2021,Timor-Leste,Export,World,121190,45800,7475
C,A,2021,52,2021,Romania,Export,World,121190,574320.455,8462702.85
C,A,2021,52,2021,Russian Federation,Export,World,121190,3994089.746,13626845.64
C,A,2021,52,2021,Rwanda,Export,World,121190,173151.9,184114.81
C,A,2021,52,2021,Saint Vincent and the Grenadines,Export,World,121190,339.5,940.633
C,A,2021,52,2021,Saudi Arabia,Export,World,121190,595041,3765912.439
C,A,2021,52,2021,Senegal,Export,World,121190,101196,450050.322
C,A,2021,52,2021,Serbia,Export,World,121190,2001400,8586150
C,A,2021,52,2021,India,Export,World,121190,116390280.9,414424620.7
C,A,2021,52,2021,Singapore,Export,World,121190,865888.636,39097624.84
C,A,2021,52,2021,Slovakia,Export,World,121190,926818,1915682.115
C,A,2021,52,2021,Viet Nam,Export,World,121190,11066497.85,71491353.7
C,A,2021,52,2021,Slovenia,Export,World,121190,163538.282,9469246.961
C,A,2021,52,2021,South Africa,Export,World,121190,1201276.787,8204166.454
C,A,2021,52,2021,Zimbabwe,Export,World,121190,421787.2,1314097.79
C,A,2021,52,2021,Spain,Export,World,121190,0,108102054.8
C,A,2021,52,2021,Eswatini,Export,World,121190,15377.1,4587.78
C,A,2021,52,2021,Sweden,Export,World,121190,208876.334,4738492.733
C,A,2021,52,2021,Switzerland,Export,World,121190,448647.742,28918116.01
C,A,2021,52,2021,Tajikistan,Export,World,121190,1051.522,6793
C,A,2021,52,2021,Thailand,Export,World,121190,9897381.331,13253445.63
C,A,2021,52,2021,Togo,Export,World,121190,151360,22361.168
C,A,2021,52,2021,Tonga,Export,World,121190,130430.5,1255032.061
C,A,2021,52,2021,Trinidad and Tobago,Export,World,121190,1351.516,7605.943
C,A,2021,52,2021,United Arab Emirates,Export,World,121190,7331815.388,32940978.04
C,A,2021,52,2021,Tunisia,Export,World,121190,4236426,4690440.931
C,A,2021,52,2021,Türkiye,Export,World,121190,8789496,30708457
C,A,2021,52,2021,Uganda,Export,World,121190,4138,18287.62
C,A,2021,52,2021,Ukraine,Export,World,121190,6341044.19,19414574.55
C,A,2021,52,2021,North Macedonia,Export,World,121190,416150.449,2190706.15
C,A,2021,52,2021,Egypt,Export,World,121190,27063237.36,174832860.5
C,A,2021,52,2021,United Kingdom,Export,World,121190,1088367.585,15217142.67
C,A,2021,52,2021,United Rep. of Tanzania,Export,World,121190,1273085.653,3906513.46
C,A,2021,52,2021,USA,Export,World,121190,15400738,126724084
C,A,2021,52,2021,Burkina Faso,Export,World,121190,245882,705629.45
C,A,2021,52,2021,Uruguay,Export,World,121190,12971.806,2614137
C,A,2021,52,2021,Uzbekistan,Export,World,121190,1114330.393,7619158.95
C,A,2021,52,2021,Samoa,Export,World,121190,119376.5,183572.874
C,A,2021,52,2021,Zambia,Export,World,121190,240770.23,517094.068
C,A,2022,52,2022,Albania,Export,World,121190,2572237.5,8353577.814
C,A,2022,52,2022,Angola,Export,World,121190,13866.5,3505.494
C,A,2022,52,2022,Azerbaijan,Export,World,121190,3306640,1244678.01
C,A,2022,52,2022,Argentina,Export,World,121190,940083.1,2912454.65
C,A,2022,52,2022,Australia,Export,World,121190,1772712.04,29390232.72
C,A,2022,52,2022,Austria,Export,World,121190,5466636.052,43789384.52
C,A,2022,52,2022,Bahrain,Export,World,121190,72839.11,2985352.358
C,A,2022,52,2022,Armenia,Export,World,121190,899321.85,1998603.7
